text,target
beavis закрой пожалуйста microsoft accss,access
бивис microsoft accss закрой,access
эй бивис акзес выключи,access
слушай снеси аксис,access
beavis kill аксис,access
закрывай эту microsoft access,access
слушай закрой аксис,access
заверши microsoft acess,access
алло прибей аксес,access
ну ка выключи акзес,access
слушай close accss,access
брух закрывай эту mcrosoft access,access
дружище прибей miкrosoft access,access
beavis заверши acess,access
слушай заканчивай с акзес,access
брух убери акзес полностью,access
дружище закрой пожалуйста акзес,access
брух закрой окно mcrosoft access,access
beavis close microsoft accss,access
слушай mcrosoft access заверши,access
бивис снеси microsoft access,access
брух выключи accss,access
брух закрой нафиг micrsoft access,access
beavis убей процесс microsoftaccess,access
слушай убери нахрен mcrosoft access,access
microsoft access закрой,access
бивис зактни microsoft access,access
ну ка close aкcess,access
beavis выйди из aкcess,access
дружище снеси miкrosoft access,access
дружище закрывай aкcess,access
эй бивис закрой нафиг mcrosoft access,access
слушай microsoft acess выключи,access
убери miкrosoft access полностью,access
бивис закрой micrsoft access,access
beavis убери miкrosoft access полностью,access
дружище close acess,access
эй бивис kill microsoft accss,access
дружище kill acess,access
алло убери нахрен access,access
дружище kill aкcess,access
бивис снеси micrsoft access,access
слушай microsoft accss выключи,access
эй бивис закрой окно miкrosoft access,access
алло зкрой access,access
брух kill mcrosoft access,access
закрой accss,access
дружище закрой accss,access
слушай закрой пожалуйста mcrosoft access,access
брух закрой пожалуйста аксес,access
бивис закрывай эту microsoft acess,access
эй бивис закрой окно аксис,access
закрой окно miкrosoft access,access
beavis close micrsoft access,access
close micrsoft access,access
эй бивис закрывай эту microsoftaccess,access
закрой access,access
хватит microsoft access,access
брух заверши access,access
эй бивис закрой пожалуйста miкrosoft access,access
эй бивис закрыть mcrosoft access,access
зактни aкcess,access
дружище снеси акзес,access
бивис закрой пожалуйста аксес,access
beavis прибей microsoft accss,access
зкрой mcrosoft access,access
beavis закрывай эту microsoft acess,access
брух выключи аксис,access
брух аксис выключи,access
бивис акзес выключи,access
брух заканчивай с акзес,access
брух microsoft access выключи,access
ну ка close microsoftaccess,access
слушай закрой нафиг micrsoft access,access
ну ка microsoft acess заверши,access
брух прибей aкcess,access
дружище закрывай эту microsoft access,access
брух kill аксес,access
слушай закрой нафиг microsoftaccess,access
beavis заканчивай с microsoft access,access
бивис microsoft accss выключи,access
ну ка закрывай acess,access
beavis хватит microsoft access,access
брух выключи microsoft access,access
слушай закрой окно mcrosoft access,access
брух прибей microsoft access,access
бивис заверши microsoftaccess,access
алло выключи microsoft access,access
дружище зкрой аксес,access
алло microsoft access выключи,access
брух access заверши,access
эй бивис выйди из aкcess,access
закрой окно acess,access
алло закрой окно аксис,access
бивис выключи акзес,access
алло убери акзес полностью,access
брух заканчивай с aкcess,access
алло прибей accss,access
beavis снеси аксис,access
дружище убери access полностью,access
ну ка убери microsoft acess полностью,access
дружище закрыть micrsoft access,access
закрыть акзес,access
beavis выйди из accss,access
beavis заканчивай с аксес,access
ну ка закрой окно аксис,access
слушай снеси microsoft acess,access
бивис micrsoft access заверши,access
алло заканчивай с accss,access
дружище зкрой microsoft accss,access
ну ка закрой microsoft access,access
закрой акзес,access
эй бивис заканчивай с microsoft access,access
слушай заканчивай с microsoft accss,access
убери нахрен акзес,access
бивис закрыть microsoft acess,access
дружище убери нахрен акзес,access
алло kill microsoft access,access
beavis заканчивай с акзес,access
дружище kill access,access
брух закрой microsoft acess,access
ну ка убей процесс microsoft access,access
выйди из micrsoft access,access
закрывай эту акзес,access
бивис убей процесс аксис,access
эй бивис убери microsoft access с глаз,access
алло убери microsoft accss с экрана,access
алло кинь вниз microsoft access,access
ну ка убери окно microsoft access,access
ну ка отправь mcrosoft access вниз,access
дружище micrsoft access вниз,access
дружище кинь вниз aкcess,access
слушай сверни в панель accss,access
ну ка скрой акзес,access
дружище отправь microsoft acess вниз,access
сврени microsoftaccess,access
алло micrsoft access спрячь,access
дружище сверни окно акзес,access
beavis сверни окно microsoftaccess,access
эй бивис скрой micrsoft access,access
брух спрячь аксес,access
алло сверний accss,access
beavis сверни окно microsoft access,access
дружище убери окно microsoft accss,access
сверни в панель accss,access
ну ка сверни в панель miкrosoft access,access
эй бивис спрячь аксес,access
брух minimize аксес,access
алло сврени acess,access
эй бивис сверний miкrosoft access,access
бивис отправь акзес вниз,access
брух сверни microsoft acess,access
брух microsoftaccess сверни,access
эй бивис спрячь acess,access
алло убери microsoft access с экрана,access
спрячь micrsoft access,access
брух кинь вниз acess,access
aкcess сверни,access
эй бивис microsoft access спрячь,access
эй бивис спрячь microsoftaccess,access
убери microsoft access с глаз,access
сверни окно micrsoft access,access
брух microsoft acess сверни,access
дружище отправь microsoft access вниз,access
брух сверний accss,access
дружище спрячь аксес,access
убери окно аксес,access
бивис microsoftaccess вниз,access
beavis убери аксис с экрана,access
алло сверни access,access
сверни acess,access
алло спрячь miкrosoft access,access
слушай сверни окно microsoft accss,access
брух сврени micrsoft access,access
ну ка убери акзес с глаз,access
beavis сверни microsoftaccess,access
эй бивис сврени microsoft accss,access
брух спрячь microsoft acess,access
бивис micrsoft access вниз,access
beavis aкcess сверни,access
бивис спрячь microsoft accss,access
алло убери access с глаз,access
ну ка отправь micrsoft access вниз,access
бивис сверни пожалуйста аксис,access
minimize accss,access
ну ка скрой microsoftaccess,access
слушай minimize acess,access
beavis скрой access,access
брух microsoft access спрячь,access
слушай спрячь microsoft accss,access
брух acess сверни,access
эй бивис сверни окно аксес,access
дружище отправь mcrosoft access вниз,access
дружище убери microsoftaccess с глаз,access
ну ка access вниз,access
beavis отправь acess вниз,access
алло сверний акзес,access
слушай скрой акзес,access
бивис сверни в панель micrsoft access,access
дружище убери aкcess с экрана,access
брух убери окно miкrosoft access,access
дружище убери аксес с глаз,access
дружище спрячь access,access
бивис сверни окно аксис,access
